connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
4,1102,-0.3,16.7,9.5,-829,0.102,10,0.001304404
5,1104,-5.7,17.3,10.2,-1271,-0.025,10,0.000561261
0,1135,-4.6,17.6,10.4,-1266,0.04,5,0.000480274
1,1135,-0.2,17.8,10.4,-814,-0.056,7,0.000451754
2,1136,-3.7,16.9,9.9,-5889,-0.082,11,0.000855268
3,1137,-0.9,17.1,10.2,-5871,0.156,9,0.000618228
4,1138,-0.3,16.9,9.5,-828,0.099,11,0.001374073
5,1139,-5.7,17.3,10.2,-1271,0.03,9,0.000545402
0,1170,-4.7,17.5,10.4,-1266,0.074,4,0.000450925
1,1171,-0.2,17.7,10.4,-817,-0.113,7,0.000433836
2,1172,-3.8,16.9,9.9,-5887,-0.086,10,0.000818142
3,1172,-0.9,17.1,10.1,-5871,0.169,10,0.000658103
4,1174,-0.3,16.7,9.5,-829,-0.026,11,0.001295773
5,1175,-5.7,17.2,10.2,-1269,0.095,10,0.000536699
0,1206,-4.7,17.6,10.4,-1263,-0.013,5,0.00044327
1,1206,-0.2,17.7,10.4,-816,-0.082,7,0.000430027
2,1207,-3.8,17,9.9,-5891,-0.132,11,0.000839348
3,1208,-0.9,17.1,10.1,-5872,0.12,10,0.000647767
4,1209,-0.4,16.8,9.5,-826,0.082,10,0.00136231
5,1210,-5.8,17.2,10.2,-1273,0.064,10,0.000561476
0,1241,-4.6,17.5,10.4,-1263,0.026,5,0.000469938
1,1241,-0.2,17.7,10.4,-816,-0.086,7,0.00040909
2,1242,-3.7,16.8,9.9,-5888,-0.117,11,0.000869073
3,1243,-0.9,17,10.1,-5874,0.184,6,0.000612151
4,1244,-0.3,16.7,9.5,-826,-0.038,10,0.001345516
5,1245,-5.7,17.3,10.2,-1272,0.075,9,0.000535826
0,1276,-4.7,17.5,10.4,-1264,0.041,5,0.000456766
1,1277,-0.2,17.7,10.4,-816,-0.015,7,0.000417273
2,1277,-3.7,16.8,9.9,-5889,-0.118,9,0.000817392
3,1278,-0.8,17.1,10.1,-5871,0.21,11,0.000637769
4,1279,-0.3,16.8,9.5,-826,0.078,10,0.001318014
5,1280,-5.7,17.2,10.2,-1275,0.066,9,0.000552806
0,1311,-4.6,17.6,10.4,-1266,0.019,4,0.00045132
1,1312,-0.2,17.7,10.4,-814,-0.051,7,0.000439516
2,1313,-3.8,16.8,9.9,-5885,-0.052,11,0.000840991
3,1314,-0.9,17.1,10.1,-5871,0.144,8,0.000625494
4,1315,-0.3,16.8,9.5,-822,0.151,11,0.001376055
5,1315,-5.7,17.4,10.2,-1270,0.024,10,0.000556045
0,1346,-4.7,17.5,10.4,-1265,-0.037,4,0.000468183
1,1347,-0.2,17.5,10.4,-818,-0.12,7,0.000411957
2,1348,-3.7,16.7,9.9,-5887,-0.138,8,0.000827757
3,1349,-0.9,17.2,10.1,-5870,0.159,7,0.000649982
4,1350,-0.3,16.7,9.5,-830,0.092,10,0.001311302
5,1351,-5.7,17.2,10.2,-1271,-0.023,10,0.000544183
0,1382,-4.6,17.6,10.4,-1267,0.005,4,0.000467449
1,1387,-0.2,17.6,10.4,-816,-0.094,7,0.000425663
2,1387,-3.8,16.8,9.9,-5885,-0.114,10,0.000834413
3,1388,-0.9,17.2,10.1,-5873,0.058,8,0.000642772
4,1390,-0.3,16.7,9.5,-822,-0.023,10,0.001301972
5,1399,-5.7,17.3,10.2,-1270,-0.057,10,0.000547787
0,1430,-4.7,17.5,10.4,-1267,0.012,5,0.000459342
1,1431,-0.2,17.7,10.4,-816,-0.019,7,0.000411508
2,1432,-3.7,16.8,9.9,-5888,-0.103,10,0.000867204
3,1432,-0.8,17.1,10.1,-5870,0.065,9,0.000670963
4,1433,-0.3,16.8,9.5,-828,0.109,11,0.001320919
5,1434,-5.7,17.4,10.2,-1270,-0.02,9,0.000556762
0,1465,-4.6,17.5,10.4,-1266,-0.005,4,0.000437299
